('Basic Average Shares', '15,236,773.25', '15,343,783.00', '15,744,231.00', '16,215,963.00', '16,701,272.00')
         786083 function calls (761968 primitive calls) in 1.314 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    81141    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
68293/61914    0.008    0.000    0.009    0.000 {built-in method builtins.len}
59310/59290    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
    26279    0.006    0.000    0.010    0.000 _parser.py:168(__getitem__)
    25042    0.021    0.000    0.021    0.000 {method 'match' of 're.Pattern' objects}
    20601    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    20581    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    14828    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    14401    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    14186    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    14063    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    13568    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    12897    0.004    0.000    0.006    0.000 _parser.py:261(get)
    11321    0.002    0.000    0.003    0.000 _parser.py:164(__len__)
    10731    0.004    0.000    0.007    0.000 _markupbase.py:44(updatepos)
    10626    0.002    0.000    0.003    0.000 _parser.py:256(match)
     8769    0.001    0.000    0.001    0.000 typing.py:2154(cast)
     8086    0.007    0.000    0.007    0.000 element.py:376(setup)
     8078    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
8042/8041    0.002    0.000    0.007    0.000 {built-in method builtins.next}
     7955    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     7624    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     7405    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     6889    0.002    0.000    0.003    0.000 _parser.py:176(append)
     6698    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     6501    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
6296/6263    0.004    0.000    0.014    0.000 typing.py:392(inner)
     6166    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     6055    0.002    0.000    0.008    0.000 filter.py:717(match)
     5944    0.001    0.000    0.006    0.000 __init__.py:122(unescape)
     5812    0.000    0.000    0.000    0.000 element.py:2219(__bool__)
     5675    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     5620    0.007    0.000    0.031    0.000 __init__.py:826(endData)
     5497    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5132    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
 5116/195    0.014    0.000    0.032    0.000 _compiler.py:37(_compile)
 5072/385    0.005    0.000    0.008    0.000 _parser.py:178(getwidth)
 4578/233    0.020    0.000    0.059    0.000 _parser.py:512(_parse)
     4255    0.001    0.000    0.001    0.000 {built-in method builtins.max}
